,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
49,2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two_year,Yes,Credit card (automatic),64.15,4254.100,No
50,8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,No,Month_to_month,Yes,Electronic check,90.25,3838.750,No
51,9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber_optic,Yes,Yes,No,No,Yes,Yes,Month_to_month,Yes,Credit card (automatic),99.1,1426.400,Yes
52,6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month_to_month,Yes,Credit card (automatic),69.5,1752.650,No
53,7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber_optic,No,Yes,No,No,No,No,Month_to_month,Yes,Credit card (automatic),80.65,633.300,Yes
54,4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One_year,Yes,Credit card (automatic),74.85,4456.350,No
55,1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month_to_month,Yes,Electronic check,95.45,1752.550,Yes
56,8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber_optic,Yes,No,No,No,Yes,Yes,One_year,Yes,Credit card (automatic),99.65,6311.200,No
57,5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,One_year,Yes,Electronic check,108.45,7076.350,No
58,3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Credit card (automatic),24.95,894.300,No
59,5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Two_year,Yes,Credit card (automatic),107.5,7853.700,No
60,0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month_to_month,Yes,Electronic check,100.5,4707.100,No
61,1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,No,Month_to_month,Yes,Bank transfer (automatic),89.9,5450.700,No
62,0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two_year,No,Bank transfer (automatic),42.1,2962.000,No
63,0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One_year,Yes,Credit card (automatic),54.4,957.100,No
64,5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month_to_month,No,Electronic check,94.4,857.250,Yes
65,5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month_to_month,Yes,Electronic check,75.3,244.100,No
66,8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber_optic,No,Yes,No,No,No,No,One_year,Yes,Electronic check,78.9,3650.350,No
67,3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two_year,No,Mailed check,79.2,2497.200,No
68,3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Bank transfer (automatic),20.15,930.900,No
69,7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber_optic,Yes,No,Yes,No,No,No,Month_to_month,Yes,Mailed check,79.85,887.350,No
70,2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month_to_month,No,Mailed check,49.05,49.050,No
71,0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One_year,Yes,Electronic check,20.4,1090.650,No
72,1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber_optic,Yes,No,Yes,Yes,Yes,Yes,Two_year,Yes,Bank transfer (automatic),111.6,7099.000,No
73,8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,Yes,Bank transfer (automatic),24.25,1424.600,No
74,5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month_to_month,Yes,Bank transfer (automatic),64.5,177.400,No
75,2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber_optic,Yes,Yes,Yes,No,Yes,Yes,One_year,No,Electronic check,110.5,6139.500,No
76,6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One_year,No,Credit card (automatic),55.65,2688.850,No
77,5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month_to_month,No,Mailed check,54.65,482.250,No
78,0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month_to_month,Yes,Electronic check,74.75,2111.300,No
79,3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One_year,Yes,Credit card (automatic),25.9,1216.600,No
80,5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber_optic,No,No,No,No,Yes,No,Month_to_month,Yes,Electronic check,79.35,79.350,Yes
81,8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month_to_month,No,Electronic check,50.55,565.350,No
82,9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber_optic,No,No,Yes,No,No,No,Month_to_month,Yes,Bank transfer (automatic),75.15,496.900,Yes
83,9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,Month_to_month,Yes,Bank transfer (automatic),103.8,4327.500,No
84,0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,Yes,Bank transfer (automatic),20.15,973.350,No
85,4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,Yes,Month_to_month,Yes,Credit card (automatic),99.3,918.750,No
86,4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One_year,Yes,Bank transfer (automatic),62.15,2215.450,No
87,1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Bank transfer (automatic),20.65,1057.000,No
88,2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,Yes,Mailed check,19.95,927.100,No
89,3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month_to_month,No,Mailed check,33.75,1009.250,No
90,4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber_optic,No,Yes,Yes,No,No,No,Month_to_month,No,Bank transfer (automatic),82.05,2570.200,No
91,2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber_optic,No,No,No,Yes,No,No,Month_to_month,No,Electronic check,74.7,74.700,No
92,7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two_year,Yes,Mailed check,84.0,5714.250,No
93,6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber_optic,Yes,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,Credit card (automatic),111.05,7107.000,No
94,9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Two_year,Yes,Bank transfer (automatic),100.9,7459.050,No
95,8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber_optic,Yes,No,No,No,No,No,Month_to_month,Yes,Electronic check,78.95,927.350,Yes
96,9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One_year,Yes,Credit card (automatic),66.85,4748.700,No
97,0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month_to_month,No,Mailed check,21.05,113.850,Yes
98,3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Bank transfer (automatic),21.0,1107.200,No
99,4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,Electronic check,98.5,2514.500,Yes
100,6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month_to_month,No,Mailed check,20.2,20.200,No
101,3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month_to_month,No,Electronic check,19.45,19.450,No
102,7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber_optic,No,No,Yes,Yes,Yes,No,One_year,No,Bank transfer (automatic),95.0,3605.600,No
103,5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One_year,No,Bank transfer (automatic),45.55,3027.250,No
104,3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,Two_year,Yes,Bank transfer (automatic),110.0,7611.850,Yes
105,6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month_to_month,No,Mailed check,24.3,100.200,No
106,6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber_optic,Yes,Yes,No,No,Yes,Yes,One_year,Yes,Electronic check,104.15,7303.050,No
107,9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One_year,No,Mailed check,30.15,927.650,No
108,8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber_optic,No,No,No,No,Yes,Yes,One_year,No,Mailed check,94.35,3921.300,No
109,2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Credit card (automatic),19.4,1363.250,No
110,0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber_optic,Yes,Yes,No,No,Yes,No,Month_to_month,Yes,Electronic check,96.75,5238.900,Yes
111,4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One_year,No,Credit card (automatic),57.95,3042.250,No
112,5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber_optic,No,Yes,Yes,No,Yes,No,Month_to_month,Yes,Electronic check,91.65,3954.100,No
113,4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic check,76.5,2868.150,Yes
114,5256-SKJGO,Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two_year,Yes,Electronic check,54.6,3423.500,No
115,3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Fiber_optic,Yes,Yes,No,No,Yes,No,Month_to_month,No,Electronic check,89.85,248.400,No
116,9560-BBZXK,Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two_year,No,Bank transfer (automatic),31.05,1126.350,No
117,5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,Fiber_optic,Yes,No,No,No,Yes,Yes,Month_to_month,Yes,Electronic check,100.25,1064.650,Yes
118,8402-OOOHJ,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Mailed check,20.65,835.150,No
119,9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,Fiber_optic,No,Yes,No,Yes,No,No,Month_to_month,Yes,Credit card (automatic),85.2,2151.600,No
120,1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,One_year,Yes,Credit card (automatic),99.8,5515.450,No
121,2928-HLDBA,Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month_to_month,No,Mailed check,20.7,112.750,No
122,0404-SWRVG,Male,0,No,No,3,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic check,74.4,229.550,Yes
123,6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month_to_month,No,Mailed check,50.7,350.350,No
124,7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month_to_month,No,Mailed check,20.85,62.900,No
125,4622-YNKIJ,Male,0,No,No,33,Yes,No,Fiber_optic,Yes,No,No,Yes,Yes,No,Two_year,Yes,Electronic check,88.95,3027.650,No
126,4412-YLTKF,Female,1,No,No,27,Yes,Yes,Fiber_optic,No,No,Yes,No,No,No,Month_to_month,Yes,Electronic check,78.05,2135.500,Yes
127,6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,Yes,Bank transfer (automatic),23.55,1723.950,No
128,3930-ZGWVE,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month_to_month,No,Mailed check,19.75,19.750,No
129,2639-UGMAZ,Male,1,No,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One_year,Yes,Electronic check,56.45,3985.350,No
130,2876-GZYZC,Female,0,No,No,13,Yes,Yes,Fiber_optic,No,No,No,No,No,Yes,Month_to_month,Yes,Electronic check,85.95,1215.650,No
131,6207-WIOLX,Female,0,Yes,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,Credit card (automatic),58.6,1502.650,Yes
132,8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,Two_year,No,Bank transfer (automatic),50.55,3260.100,No
133,3091-FYHKI,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month_to_month,Yes,Electronic check,35.45,35.450,Yes
134,2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month_to_month,No,Electronic check,44.35,81.250,Yes
135,7799-LGRDP,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,Yes,Credit card (automatic),25.7,1188.200,No
136,7850-VWJUU,Female,0,No,No,23,Yes,No,Fiber_optic,Yes,No,No,No,No,No,Month_to_month,Yes,Bank transfer (automatic),75.0,1778.500,No
137,3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Mailed check,20.2,1277.750,No
138,6217-KDYWC,Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,Yes,Mailed check,19.6,1170.550,No
139,0390-DCFDQ,Female,1,Yes,No,1,Yes,No,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Mailed check,70.45,70.450,Yes
140,3146-MSEGF,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,Yes,Credit card (automatic),88.05,6425.650,No
141,4080-OGPJL,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month_to_month,No,Electronic check,71.15,563.650,Yes
142,1095-WGNGG,Female,0,Yes,No,61,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,Yes,Two_year,Yes,Bank transfer (automatic),101.05,5971.250,No
143,2636-SJDOU,Male,0,No,No,64,Yes,Yes,Fiber_optic,Yes,Yes,No,No,No,No,One_year,Yes,Credit card (automatic),84.3,5289.050,No
144,1131-QQZEB,Male,1,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Bank transfer (automatic),23.95,1756.200,No
145,5716-EZXZN,Female,0,Yes,Yes,65,Yes,Yes,Fiber_optic,Yes,Yes,No,Yes,Yes,No,Two_year,Yes,Credit card (automatic),99.05,6416.700,No
146,6837-BJYDQ,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One_year,No,Mailed check,19.6,61.350,No
147,2135-RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month_to_month,Yes,Electronic check,45.65,45.650,Yes
148,6440-DKQGE,Male,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One_year,No,Credit card (automatic),64.5,1929.950,No
149,3466-BYAVD,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month_to_month,Yes,Mailed check,69.5,1071.400,No
150,3780-YVMFA,Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month_to_month,Yes,Electronic check,68.55,564.350,No
151,3874-EQOEP,Male,0,No,No,7,Yes,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month_to_month,No,Mailed check,95.0,655.500,Yes
152,1679-JRFBR,Female,0,Yes,Yes,70,Yes,Yes,Fiber_optic,Yes,Yes,Yes,No,Yes,Yes,One_year,Yes,Credit card (automatic),108.15,7930.550,No
153,9073-ZZIAY,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,No,Electronic check,86.1,5215.250,No
154,3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month_to_month,No,Mailed check,19.7,113.500,No
155,6551-GNYDG,Female,0,Yes,Yes,14,Yes,No,Fiber_optic,No,No,No,No,No,Yes,Month_to_month,Yes,Bank transfer (automatic),80.9,1152.800,No
156,9167-APMXZ,Female,0,No,No,22,Yes,Yes,Fiber_optic,No,No,No,No,Yes,No,Month_to_month,Yes,Bank transfer (automatic),84.15,1821.950,No
157,2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One_year,No,Mailed check,20.15,419.900,No
158,6371-NZYEG,Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two_year,No,Mailed check,64.25,1024.000,No
159,7554-NEWDD,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two_year,No,Bank transfer (automatic),25.7,251.600,No
160,8992-VONJD,Female,0,No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,No,No,Month_to_month,Yes,Electronic check,56.0,764.550,No
161,0867-MKZVY,Female,0,Yes,No,20,Yes,Yes,Fiber_optic,Yes,No,No,No,No,No,Month_to_month,No,Electronic check,82.4,1592.350,Yes
162,4482-EWFMI,Female,0,No,No,2,Yes,No,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic check,69.7,135.200,No
163,4648-YPBTM,Male,0,No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two_year,Yes,Bank transfer (automatic),73.9,3958.250,No
