BADM 322_ Group Project Survey (Responses) - Form Responses 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,1. Do you drink kombucha?,"2. If you do drink kombucha, how often?",3. Do you have any dietary preferences or restrictions that you consider when buying kombucha?,4. What is the maximum price you would pay for a single bottle of locally-made kombucha?,5. How important is it for you to sample a beverage before committing to a purchase?,"6. Would the potential health benefits of kombucha, including improved liver health, lowered risk of heart disease, weight loss support, and relief from symptoms of depression, motivate you to start drinking kombucha if you do not already?","7. When picking a drink like kombucha, to what extent do these categories matter to you?  [Taste]","7. When picking a drink like kombucha, to what extent do these categories matter to you?  [Health benefits]","7. When picking a drink like kombucha, to what extent do these categories matter to you?  [Price point]","7. When picking a drink like kombucha, to what extent do these categories matter to you?  [Ingredients]","7. When picking a drink like kombucha, to what extent do these categories matter to you?  [Brand reputation/values]",8. Which apps do you use daily? (Select all that apply),9. What makes you follow a brand online? (Select all that apply),10. What kind of brand posts are you most likely to share or tag friends in?,"11. Please take a look at Cloud Mountain Kombucha Instagram and answer the following questions. 

How would you rate the different aspects of Cloud Mountain Kombucha's Instagram posts?
 [Captions]","11. Please take a look at Cloud Mountain Kombucha Instagram and answer the following questions. 

How would you rate the different aspects of Cloud Mountain Kombucha's Instagram posts?
 [Consistency]","11. Please take a look at Cloud Mountain Kombucha Instagram and answer the following questions. 

How would you rate the different aspects of Cloud Mountain Kombucha's Instagram posts?
 [Photo Quality]","11. Please take a look at Cloud Mountain Kombucha Instagram and answer the following questions. 

How would you rate the different aspects of Cloud Mountain Kombucha's Instagram posts?
 [Product Appeal]","12. After looking at Cloud Mountain Kombucha's Instagram, how likely are you to follow their Instagram?","13. Based on their Instagram, how likely are are you to visit Cloud Mountain Kombucha?",14. Cloud Mountain is all about being green and local. Would you be more likely to buy a product if you knew it was made sustainably?,"15. If Cloud Mountain Kombucha were available in your favorite local café or restaurant, how likely would you be to try it?","16. How do you usually find out about new products or businesses, like Cloud Mountain Kombucha? (Select all that apply)",17. What type of promotional offer would likely persuade you to try Cloud Mountain Kombucha for the first time?,18. How likely are you to try Cloud Mountain Kombucha if it was recommended by a health or wellness influencer you follow?,19. Where would you prefer to purchase Cloud Mountain Kombucha? Select all that apply.,20. Would seeing Cloud Mountain at campus events make you more likely to try/buy it?,21. Do you have a car on campus?,22. Had you heard of Cloud Mountain Kombucha before this survey?,23. What's your age range?,24. What gender do you identify as?,25. What's your current year at UIUC?,26. What college are you in?
4/7/2024 17:31:01,"No, but I'm open to trying it",I don't drink kombucha,Gluten-free,$5.01 to $7,Somewhat important,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,"Instagram, Snapchat, Facebook","Cool deals or freebies., Fun and engaging posts.",Competitions or giveaways,Very Good,Poor,Fair,Fair,Neither Likely or Unlikely,Likely,"Definitely, that's important to me.",Slightly likely,"Social Media, Friends/classmates","First bottle free, Discount on your first purchase, Free kombucha tasting event, Student discount",Slightly likely,"Local coffee shops and cafés, Convenience stores near campus, Grocery stores",Totally!,"Yes, I drive it often",No,18-22,Female,Junior,College of Liberal Arts & Sciences (LAS)
4/7/2024 17:33:08,"No, and I'm not interested.",I don't drink kombucha,None for me,$3 to $5,Somewhat important,Yes,Strongly agree,Slightly agree,Neutral,Neutral,Slightly agree,"Instagram, TikTok, Snapchat, Facebook","Cool deals or freebies., Fun and engaging posts.",Memes or funny content,Good,Very Good,Good,Very Good,Very Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Neutral,"Social Media, Friends/classmates, Flyers and handouts",First bottle free,Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, Convenience stores near campus, At campus events or pop-up shops","Maybe, if it catches my eye.","Yes, I drive it often",No,18-22,Female,Sophomore,Gies College of Business (BUS)
4/7/2024 17:34:12,"No, but I'm open to trying it",I don't drink kombucha,None for me,$3 to $5,Somewhat important,Yes,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,"Instagram, TikTok, Snapchat, YouTube","Cool deals or freebies., Fun and engaging posts., Friends follow them.",Competitions or giveaways,Fair,Fair,Fair,Fair,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates",First bottle free,Neutral,"Campus dining halls or cafeterias, Convenience stores near campus, At campus events or pop-up shops","Maybe, if it catches my eye.",No,No,18-22,Female,Sophomore,College of Liberal Arts & Sciences (LAS)
4/7/2024 17:34:24,"Tried it, not my thing.",I don't drink kombucha,Gluten-free,$3 to $5,Not at all important,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"TikTok, Snapchat, Twitter, Facebook, YouTube","Fun and engaging posts., They align with my values (e.g., environment, social issues).",Interesting facts or tips,Excellent,Excellent,Excellent,Excellent,Very Unlikely,Very Unlikely,"Definitely, that's important to me.",Neutral,Friends/classmates,Free kombucha tasting event,Neutral,"Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, Online for home delivery","Maybe, if it catches my eye.",No,No,23-27,Female,Graduate Student,College of Law (LAW)
4/7/2024 17:46:27,"No, and I'm not interested.",I don't drink kombucha,None for me,$3 to $5,Not at all important,Yes,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,"Instagram, TikTok, Snapchat",Cool deals or freebies.,Memes or funny content,Poor,Poor,Good,Poor,Neither Likely or Unlikely,Unlikely,Not really sure.,Slightly likely,"Social Media, Friends/classmates","Buy one, get one free, Free kombucha tasting event",Slightly unlikely,Grocery stores,"Maybe, if it catches my eye.","Yes, I use it occasionally",No,18-22,Female,Sophomore,College of Applied Health Sciences (AHS)
4/7/2024 17:59:52,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,"Instagram, TikTok, Snapchat, YouTube","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues).",Competitions or giveaways,Good,Very Good,Good,Very Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Definitely, that's important to me.",Very likely,"Social Media, Friends/classmates, Local shops","First bottle free, Free kombucha tasting event, Student discount",Slightly likely,"Local coffee shops and cafés, Convenience stores near campus, Grocery stores",Totally!,No,No,18-22,Female,Sophomore,College of Liberal Arts & Sciences (LAS)
4/7/2024 18:23:16,"No, but I'm open to trying it",I don't drink kombucha,None for me,$3 to $5,Somewhat important,Yes,Strongly agree,Slightly agree,Slightly agree,Neutral,Neutral,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts.",Memes or funny content,Very Good,Good,Fair,Good,Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates","First bottle free, Discount on your first purchase, Student discount",Neutral,"Local coffee shops and cafés, Grocery stores","Maybe, if it catches my eye.",No,No,18-22,Female,Sophomore,Gies College of Business (BUS)
4/7/2024 18:24:37,"Tried it, not my thing.",I don't drink kombucha,None for me,$3 to $5,Somewhat important,No,Slightly agree,Neutral,Slightly agree,Neutral,Neutral,"Instagram, TikTok, Snapchat, Facebook","Fun and engaging posts., They align with my values (e.g., environment, social issues).",Memes or funny content,Good,Good,Good,Good,Unlikely,Unlikely,"Probably, sounds like a good thing.",Neutral,"Social Media, Friends/classmates","First bottle free, Free kombucha tasting event",Slightly likely,"Campus dining halls or cafeterias, Grocery stores, Online for home delivery","Maybe, if it catches my eye.","Yes, I drive it often",No,18-22,Male,Sophomore,College of Applied Health Sciences (AHS)
4/7/2024 18:25:28,"Yep, love it!",A couple times a month,None for me,$5.01 to $7,Not at all important,Yes,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them., An influencer I follow promotes the brand.",Interesting facts or tips,Fair,Fair,Good,Good,Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates","First bottle free, Free kombucha tasting event, Student discount",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, Online for home delivery, At campus events or pop-up shops, Gyms or fitness centers","Maybe, if it catches my eye.",No,No,18-22,Female,Sophomore,College of Media
4/7/2024 18:27:59,"Yep, love it!",A few times a year,None for me,$5.01 to $7,Somewhat important,Yes,Slightly agree,Strongly agree,Neutral,Slightly agree,Neutral,"Instagram, TikTok, Snapchat, Facebook, YouTube","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues).",Memes or funny content,Good,Good,Good,Good,Neither Likely or Unlikely,Neither Likely or Unlikely,Not a big factor for me.,Very likely,"Social Media, Friends/classmates","First bottle free, Free kombucha tasting event, Student discount",Slightly likely,"Local coffee shops and cafés, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Bars or restaurants","Maybe, if it catches my eye.","Yes, I drive it often",No,18-22,Female,Sophomore,College of Liberal Arts & Sciences (LAS)
4/7/2024 18:31:54,"Tried it, not my thing.",I don't drink kombucha,None for me,$5.01 to $7,Not at all important,Yes,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts.",Memes or funny content,Fair,Very Good,Fair,Good,Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Very likely,"Social Media, Friends/classmates, Local shops","First bottle free, Free kombucha tasting event, Coupon for future purchase with first trial",Slightly likely,"Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores",Totally!,No,No,18-22,Female,Sophomore,College of Fine & Applied Arts (FAA)
4/7/2024 18:38:08,"No, and I'm not interested.",I don't drink kombucha,None for me,$3 to $5,Somewhat important,Yes,Strongly agree,Neutral,Strongly agree,Slightly disagree,Neutral,"Instagram, TikTok, Snapchat","They align with my values (e.g., environment, social issues).",Memes or funny content,Good,Fair,Very Good,Fair,Unlikely,Very Unlikely,Not really sure.,Slightly unlikely,"Social Media, Friends/classmates","First bottle free, Free kombucha tasting event",Slightly likely,"Campus dining halls or cafeterias, Convenience stores near campus, Grocery stores","Maybe, if it catches my eye.",No,No,18-22,Female,Sophomore,Division of General Studies
4/7/2024 18:41:39,"No, and I'm not interested.",I don't drink kombucha,None for me,$3 to $5,Somewhat important,Yes,Strongly agree,Neutral,Slightly agree,Neutral,Slightly agree,"Instagram, TikTok, Snapchat",Cool deals or freebies.,Memes or funny content,Good,Good,Good,Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Neutral,"Social Media, Friends/classmates, Local shops","First bottle free, Free kombucha tasting event",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers",Doubt it.,No,No,18-22,Female,Sophomore,College of Applied Health Sciences (AHS)
4/7/2024 20:14:18,"No, and I'm not interested.",I don't drink kombucha,None for me,$3 to $5,Extremely important,No,Strongly agree,Neutral,Neutral,Slightly disagree,Strongly disagree,"Instagram, TikTok, Snapchat, YouTube",Fun and engaging posts.,Memes or funny content,Good,Fair,Poor,Fair,Very Unlikely,Unlikely,Not a big factor for me.,Slightly unlikely,Friends/classmates,"First bottle free, Free kombucha tasting event",Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, Grocery stores, Gyms or fitness centers","Maybe, if it catches my eye.","Yes, I drive it often",No,18-22,Male,Sophomore,Gies College of Business (BUS)
4/7/2024 20:19:08,"Yep, love it!",Every 1-2 days,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,"Instagram, TikTok, Snapchat, BeReal, YouTube","Cool deals or freebies., Fun and engaging posts., An influencer I follow promotes the brand.",Memes or funny content,Fair,Very Good,Good,Good,Neither Likely or Unlikely,Likely,"Probably, sounds like a good thing.",Very likely,"Social Media, Friends/classmates, Local shops, Saw it on the menu at Big Grove Tavern","First bottle free, Free kombucha tasting event, Student discount",Very likely,"Local coffee shops and cafés, Health food stores, Convenience stores near campus, Gyms or fitness centers",Totally!,No,Yes,18-22,Female,Sophomore,Gies College of Business (BUS)
4/7/2024 20:50:14,"Yep, love it!",A few times a year,None for me,$3 to $5,Not at all important,Yes,Strongly agree,Neutral,Slightly agree,Neutral,Neutral,"Instagram, TikTok, Snapchat, Twitter, Facebook, YouTube","Cool deals or freebies., Friends follow them., An influencer I follow promotes the brand.",Memes or funny content,Very Good,Very Good,Very Good,Very Good,Very Likely,Very Likely,Not a big factor for me.,Slightly unlikely,"Friends/classmates, Flyers and handouts","Buy one, get one free, Discount on your first purchase, Free kombucha tasting event, Student discount",Slightly likely,Local coffee shops and cafés,"Maybe, if it catches my eye.",No,No,18-22,Female,Sophomore,College of Media
4/7/2024 22:09:22,"Yep, love it!",A couple times a month,None for me,$3 to $5,Somewhat important,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., An influencer I follow promotes the brand.",Memes or funny content,Good,Good,Good,Fair,Likely,Likely,"Definitely, that's important to me.",Very likely,Social Media,"First bottle free, Buy one, get one free, Discount on your first purchase, Free kombucha tasting event, Coupon for future purchase with first trial, Student discount",Very unlikely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Convenience stores near campus, Grocery stores",Totally!,No,No,18-22,Female,Freshman,Gies College of Business (BUS)
4/8/2024 0:49:44,"Yep, love it!",A few times a year,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Neutral,Slightly agree,Neutral,Neutral,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts.",Memes or funny content,Good,Good,Fair,Fair,Unlikely,Unlikely,Not really sure.,Slightly likely,"Social Media, Friends/classmates, Local shops, Flyers and handouts","First bottle free, Discount on your first purchase, Free kombucha tasting event, Student discount",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers",Totally!,No,No,18-22,Female,Freshman,Division of General Studies
4/8/2024 7:31:09,"Tried it, not my thing.",A few times a year,"Gluten-free, Organic Only",$3 to $5,Somewhat important,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,"Instagram, Snapchat, Facebook","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues).",Interesting facts or tips,Good,Good,Very Good,Very Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Definitely, that's important to me.",Slightly likely,"Social Media, Friends/classmates","Buy one, get one free, Free kombucha tasting event",Slightly likely,"Health food stores, Grocery stores, At campus events or pop-up shops","Maybe, if it catches my eye.",No,No,28,Female,Graduate Student,Graduate College
4/8/2024 11:39:43,"No, and I'm not interested.",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Slightly agree,Strongly agree,Neutral,Strongly agree,Slightly agree,"Instagram, TikTok, Snapchat",Fun and engaging posts.,Memes or funny content,Good,Fair,Very Good,Fair,Unlikely,Unlikely,"Probably, sounds like a good thing.",Neutral,"Social Media, Friends/classmates",First bottle free,Slightly likely,Grocery stores,"Maybe, if it catches my eye.","Yes, I drive it often",No,18-22,Female,Junior,Gies College of Business (BUS)
4/8/2024 15:32:26,"No, but I'm open to trying it",I don't drink kombucha,None for me,$3 to $5,Not at all important,Yes,Strongly agree,Neutral,Slightly agree,Slightly agree,Neutral,"Instagram, TikTok, Snapchat","Cool deals or freebies., They align with my values (e.g., environment, social issues)., An influencer I follow promotes the brand.",Competitions or giveaways,Fair,Good,Good,Very Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Neutral,"Social Media, Friends/classmates","First bottle free, Buy one, get one free, Discount on your first purchase, Free kombucha tasting event, Coupon for future purchase with first trial, Student discount",Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, Grocery stores, At campus events or pop-up shops",Totally!,No,No,18-22,Female,Freshman,College of Liberal Arts & Sciences (LAS)
4/8/2024 17:33:08,"Yep, love it!",A couple times a month,None for me,$5.01 to $7,Somewhat important,Yes,Slightly agree,Neutral,Slightly agree,Slightly agree,Neutral,"Instagram, TikTok","Cool deals or freebies., They align with my values (e.g., environment, social issues).",Competitions or giveaways,Very Good,Good,Good,Very Good,Very Likely,Very Likely,"Definitely, that's important to me.",Very likely,"Social Media, Local shops","First bottle free, Buy one, get one free, Discount on your first purchase, Free kombucha tasting event, Coupon for future purchase with first trial, Student discount",Slightly likely,"Local coffee shops and cafés, Health food stores, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers, Bars or restaurants",Totally!,"Yes, I drive it often",Yes,18-22,Female,Senior,College of Liberal Arts & Sciences (LAS)
4/9/2024 13:20:24,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them.",Competitions or giveaways,Very Good,Very Good,Very Good,Very Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Campus events, Local shops",First bottle free,Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores","Maybe, if it catches my eye.",No,No,18-22,Female,Freshman,College of Liberal Arts & Sciences (LAS)
4/9/2024 13:21:21,"No, and I'm not interested.",I don't drink kombucha,"Gluten-free, Vegan",$5.01 to $7,Not at all important,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., They align with my values (e.g., environment, social issues)., Friends follow them., An influencer I follow promotes the brand.",Memes or funny content,Fair,Fair,Fair,Fair,Very Unlikely,Very Unlikely,Not really sure.,Neutral,"Social Media, Friends/classmates, Campus events","First bottle free, Buy one, get one free",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores","Maybe, if it catches my eye.",No,No,18-22,Female,Freshman,College of Liberal Arts & Sciences (LAS)
