section,majors,double_major,major1,major2,cs105,python_comfort,goals_char,topics
L,"Accountancy,Finance",1,Accountancy,Finance,1,2,168,I am interested in most of the topics listed on the syllabus already. 
L,"Accountancy,Information Systems",1,Accountancy,Information Systems,1,2,243,"There is nothing, in particular, I would like to learn about in this course, just hoping to learn something new and improve my python coding skills. "
L,"Accountancy,Information Systems",1,Accountancy,Information Systems,1,2,253,"I think it would be interesting to learn more about data relating to social media, like we discussed in class today with the flagging of posts."
L,"Information Systems,Marketing",1,Information Systems,Marketing,1,3,141,Basically what I'm interested in is included in the syllabus.
L,Accountancy,0,Accountancy,,1,2,112,How to use phyton and how we could apply it in real-world situation?
L,"Finance,Information Systems",1,Finance,Information Systems,0,2,60,"Data Sorting, annualizing , and Cleaning. "
L,Accountancy,0,Accountancy,,0,2,182,I'd like to review the basics of python so I can develop my skills throughout the course. 
L,Accountancy,0,Accountancy,,1,3,21,thoughts about coding in more details and applications about detailed problems
L,Accountancy,0,Accountancy,,0,3,82,I would like to learn how to write a code that could run a unique program that could maybe help with sports statistics or something along those lines.
L,"Finance,Information Systems",1,Finance,Information Systems,1,2,125,I think talking about organizing sports data such as shot percentage or something like yards per carry would be cool.
L,"Information Systems,Management",1,Information Systems,Management,1,3,220,I definitely want to learn more about python and writing code.
L,Undeclared,0,Undeclared,,1,1,133,"Not really, I haven’t really thought about the topics.

 "
L,"Accountancy,Finance",1,Accountancy,Finance,1,5,114,not really. nothing in specific. 
D,"Accountancy,Information Systems",1,Accountancy,Information Systems,1,2,195,I'm always interested in learning more about Tableau and Excel.
D,"Accountancy,Finance",1,Accountancy,Finance,0,4,432,I am satisfied with the topics covered in this course. There are not any additional topics or applications that I'd like to learn about in this course.
D,Accountancy,0,Accountancy,,1,3,108,I would like to learn more about how python relates to what I have learned in BADM 210 which are topics like z-scores and probability distributions.
D,"Finance,Marketing",1,Finance,Marketing,1,2,71,Im excited to learn more about python and how we can apply it to data.
D,Accountancy,0,Accountancy,,0,1,113,I am not sure what can I learn now.
D,Strategic Business Development & Entrepreneurship,0,Strategic Business Development & Entrepreneurship,,1,1,251,Social media data analytics and how to gather that information.
D,Finance,0,Finance,,1,1,136,I'm really interested in how social media algorithms work and would love to learn more about them
D,Information Systems,0,Information Systems,,0,3,246,"I'm hoping to apply some of these skills to my other information systems classes. Overall, I'm interested in learning about Data Science and how it is useful to a company and business. "
D,Accountancy,0,Accountancy,,1,2,129,I would like to learn how to set up a predictive model when analyzing or grouping data.
D,"Accountancy,Finance",1,Accountancy,Finance,1,2,260,No there are not.
H,Information Systems,0,Information Systems,,0,2,221,"Information security, coding, data analytics, data science, etc."
D,"Accountancy,Strategic Business Development & Entrepreneurship",1,Accountancy,Strategic Business Development & Entrepreneurship,1,3,116,no
D,Finance,0,Finance,,1,1,139,Twitter algorithm 
D,"Accountancy,Finance",1,Accountancy,Finance,1,1,374,How can coding be applied in the real world and career opportunities from a non-programming perspective
D,Finance,0,Finance,,0,2,150,"I do not have any topics or applications in particular that I would like to learn about. However, it would be interesting to see the Python coding behind coding bots for website purchases."
D,Finance,0,Finance,,0,5,75,Not particularly. Maybe just real-world applications of the concepts and examples.
D,"Finance,Marketing",1,Finance,Marketing,1,2,148,I would like to learn more about data mining and how to protect my own data privacy. 
D,Accountancy,0,Accountancy,,1,1,90,I don't know much about data analytics but I think that just learning how to organize and utilize useful data is important and would be very helpful.
D,"Accountancy,Finance",1,Accountancy,Finance,1,3,239,Not at the moment that I could think of 
D,Accountancy,0,Accountancy,,1,2,343,I don't have any specific topics/applications that I can think of that I'd like to learn.
D,Accountancy,0,Accountancy,,0,5,255,I would love to see how Python and Excel can be incorporated with each other. I would like to write my own code in Python and hopefully import or write it in as an excel file. 
D,Management,0,Management,,1,1,239,Since I am not too familiar with all of this I hope to learn how to code better as well as how to use data mining in real life scenarios. 
D,"Marketing,Other (If Other\, please share at bottom)",1,Marketing,,1,3,271,I don't have any particular topics or applications that I want to learn about. I would just like to be comfortable with coding and data.
D,"Information Systems,Supply Chain Management",1,Information Systems,Supply Chain Management,1,1,275,I am looking forward to learning more about Python.
D,Finance,0,Finance,,1,3,64,Data mining 
D,Accountancy,0,Accountancy,,1,4,125,I would love to learn more about cryptocurrency
D,"Finance,Information Systems",1,Finance,Information Systems,0,2,228,"Not particularly, I want to learn and do my best to ensure I get the most out of the course I possibly can. "
D,"Information Systems,Operations Management",1,Information Systems,Operations Management,0,2,88,There is nothing specific that I want to learn just the class overall. 
D,Marketing,0,Marketing,,0,2,151,What is the most efficient way to collect data?
D,"Information Systems,Marketing",1,Information Systems,Marketing,1,1,75,"I like learning in general, not too picky. "
D,"Marketing,Supply Chain Management",1,Marketing,Supply Chain Management,1,1,245,Anything. Application in supply chain management
D,"Accountancy,Information Systems",1,Accountancy,Information Systems,1,1,81,"Python refresher, and possibly more advanced uses of Python"
D,"Accountancy,Information Systems",1,Accountancy,Information Systems,1,2,38,I would like to learn more python.
H,Accountancy,0,Accountancy,,1,3,116,Topics about finance or healthcare industry
L,"Finance,Other (If Other\, please share at bottom)",1,Finance,Statistics,1,3,68,none that come to mind
H,Finance,0,Finance,,0,3,476,"Possibly another programming language other than Python. Otherwise, I'm open to whatever comes my way in this course."
H,Accountancy,0,Accountancy,,1,1,236,Nothing in particular because I am not familiar with any topics or applications. 
,Marketing,0,Marketing,,1,1,134,I am wondering if we will get a chance to more than interpret data also make it into a presentation using tools such as tableau. 
H,Finance,0,Finance,,1,1,76,Unsure ready to learn anything and everything
H,Accountancy,0,Accountancy,,0,2,295,Just generally how to write Python and be able to use it and understand its functions.
H,Strategic Business Development & Entrepreneurship,0,Strategic Business Development & Entrepreneurship,,0,2,532,"Maybe some form of web application and what truly goes into doing it. However, if we don't cover this material throughout the course, then being informed on what resources could provide me with the most information would be equally as helpful. "
H,Finance,0,Finance,,1,2,213,How to implement data science into your coding and how the two connect. Also better my understanding of predictive analysis.
H,Supply Chain Management,0,Supply Chain Management,,1,2,10,Data mining
H,"Accountancy,Finance",1,Accountancy,Finance,1,3,128,I would love to learn more about data and stock investments related to data mining.
H,Management,0,Management,,0,2,185,"Not anything specific, I just want to be more comfortable using Python and writing code, even if it's all just simple for beginners."
H,Information Systems,0,Information Systems,,1,3,164,Nothing I can think of in particular. 
H,Finance,0,Finance,,0,3,57,Not really but open to anything and ready to learn.
H,"Accountancy,Finance",1,Accountancy,Finance,0,2,125,I look forward to expanding my python skills to better prepare myself for future career opportunities.  
L,"Finance,Information Systems",1,Finance,Information Systems,0,3,82,
H,"Information Systems,Marketing",1,Information Systems,Marketing,0,2,91,"Not that I know of, but I would love to know how Twitter and other social media grasp what a user like by using a small data pool. "
D,"Accountancy,Information Systems",1,Accountancy,Information Systems,1,1,244,Applications to accounting
D,Accountancy,0,Accountancy,,1,2,132,
L,Finance,0,Finance,,1,3,188,I want to learn how to use code to automate certain business processes that save time and identify key trends. 
L,Accountancy,0,Accountancy,,1,4,273,"I would like to learn more about the role Python and programming play in business-related activities across different areas of business (Accountancy, Finance, Marketing, etc.) "
L,"Accountancy,Finance",1,Accountancy,Finance,1,1,99,I would like to learn how to use python!
H,Finance,0,Finance,,0,1,66,Python 
L,"Finance,Information Systems",1,Finance,Information Systems,1,2,136,"I am unsure if SQL will be part of this course, but I hope to learn more about this eventually."
L,Accountancy,0,Accountancy,,0,2,132,"No, not yet."
L,"Marketing,Strategic Business Development & Entrepreneurship",1,Marketing,Strategic Business Development & Entrepreneurship,1,2,420,"I don't really even know enough about the topic to know what I want to learn, but I am open and excited to learn regardless!"
