Model,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Color,Automatic,CC,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Parking_Assistant,Tow_Bar,price_category
TOYOTA_Corolla_1.8_VVTL-i_T-Sport_3-Drs_2/3-Doors,2002,31461,Petrol,192,0,Silver,0,1800,3,4,6,100,1185,1,1,12,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,High
TOYOTA_Corolla_1.8_16V_VVTLI_3DR_T_SPORT_BNS_2/3-Doors,2002,43610,Petrol,192,0,Red,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,High
TOYOTA_Corolla_1.8_16V_VVTLI_3DR_T_SPORT_2/3-Doors,2002,32189,Petrol,192,0,Red,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,High
TOYOTA_Corolla_1.8_16V_VVTLI_3DR_T_SPORT_2/3-Doors,2002,23000,Petrol,192,1,Black,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,High
TOYOTA_Corolla_1.8_16V_VVTLI_3DR_T_SPORT_2/3-Doors,2002,34131,Petrol,192,1,Grey,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,High
TOYOTA_Corolla_1.8_16V_VVTLI_3DR_T_SPORT_2/3-Doors,2002,18739,Petrol,192,0,Grey,0,1800,3,4,6,100,1185,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,High
 TOYOTA_Corolla_1.8_16V_VVTLI_3DR_T_SPORT_2/3-Doors,2002,34000,Petrol,192,1,Grey,0,1800,3,4,5,100,1185,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,High
 TOYOTA_Corolla_1.6_VVTI_Linea_Terra_Comfort_2/3-Doors,2002,21716,Petrol,110,1,Blue,0,1600,3,4,5,85,1105,0,0,18,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,High
TOYOTA_Corolla_1.6_16v_L.SOL_2/3-Doors,2002,25563,Petrol,110,0,Grey,0,1600,3,4,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_TERRA_2/3-Doors,2002,64359,Petrol,110,1,Grey,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_3DR_TERRA_2/3-Doors,2002,67660,Petrol,110,1,Blue,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_AUT4_2/3-Doors,2002,43905,Petrol,110,0,Grey,1,1600,3,4,5,100,1170,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2002,56349,Petrol,110,1,Black,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,High
 TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2002,32220,Petrol,110,1,Black,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2002,25813,Petrol,110,1,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2002,28450,Petrol,110,1,Blue,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,High
 TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2002,34545,Petrol,110,1,Blue,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2002,41415,Petrol,110,1,Black,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2002,44142,Petrol,110,0,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2002,11090,Petrol,110,1,Blue,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_VVTI_Linea_Terra_2/3-Doors,2002,9750,Petrol,97,1,Silver,0,1400,3,4,5,19,1100,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2002,35199,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2002,29510,Petrol,97,1,Black,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2002,32692,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2002,41000,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2002,43000,Petrol,97,0,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2002,25000,Petrol,97,0,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_2/3-Doors,2002,10000,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_2/3-Doors,2002,25329,Petrol,97,1,Green,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_3DR_2/3-Doors,2002,27500,Petrol,97,0,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_3DR_2/3-Doors,2002,49059,Petrol,97,0,Blue,0,1400,3,4,5,85,1100,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_2/3-Doors,2002,44068,Petrol,97,1,Red,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_2/3-Doors,2002,46961,Petrol,97,0,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_2.0_D4D_90_5DR_TERRA_COMFORT_4/5-Doors,2002,110404,Diesel,90,0,Red,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_2.0_D4D_90_5DR_TERRA_COMFORT_4/5-Doors,2002,100250,Diesel,90,0,Red,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_2.0_D4D_90_5DR_SOL_4/5-Doors,2002,84000,Diesel,90,0,Red,0,2000,5,4,5,234,1270,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,High
TOYOTA_Corolla_2.0_D4D_90_5DR_TERRA_4/5-Doors,2002,79375,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_COMFORT_4/5-Doors,2002,75048,Petrol,97,1,Blue,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,High
 TOYOTA_Corolla_2.0_D4D_90_5DR_TERRA_COMFORT_4/5-Doors,2002,72215,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.8_16V_VVTLI_5DR_T_SPORT_4/5-Doors,2002,64982,Petrol,192,1,Grey,0,1800,5,4,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,High
TOYOTA_Corolla_2.0_D4D_90_5DR_TERRA_COMFORT_4/5-Doors,2002,62636,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_4/5-Doors,2002,57086,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_AUT4_4/5-Doors,2002,56000,Petrol,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,High
TOYOTA_Corolla_1.8_VVTL-i_T-Sport_4/5-Doors,2002,49866,Petrol,192,1,Green,0,1800,5,4,5,100,1195,0,1,13,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_5DR_TERRA_AUT4_4/5-Doors,2002,49163,Petrol,110,0,Green,1,1600,5,4,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_LIFTB_LUNA_4/5-Doors,2002,45725,Petrol,110,1,Black,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,High
TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_4/5-Doors,2002,43210,Petrol,97,0,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_COMFORT_4/5-Doors,2002,43000,Petrol,97,0,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_AUT4_4/5-Doors,2002,39704,Petrol,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_4/5-Doors,2002,38950,Petrol,110,1,Red,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_COMFORT_4/5-Doors,2002,37400,Petrol,97,1,Black,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_4/5-Doors,2002,37177,Petrol,110,0,Red,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_4/5-Doors,2002,36544,Petrol,110,1,Blue,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_4/5-Doors,2002,33511,Petrol,110,1,Blue,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_COMFORT_4/5-Doors,2002,32809,Petrol,97,1,Black,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,High
TOYOTA_Corolla_1.6_VVT-I_5DR_LINEA_SOL_4/5-Doors,2002,32181,Petrol,110,1,Blue,0,1600,5,4,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_4/5-Doors,2002,30993,Petrol,110,1,Black,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_COMFORT_4/5-Doors,2002,30400,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_2.0_D4D_110_5DR_SOL_4/5-Doors,2002,30000,Diesel,110,1,Grey,0,2000,5,4,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_4/5-Doors,2002,29719,Petrol,97,1,Black,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_4/5-Doors,2002,29206,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_LIFTB_TERRA_4/5-Doors,2002,29198,Petrol,97,1,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_4/5-Doors,2002,28817,Petrol,110,1,Grey,0,1598,5,4,5,85,1130,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_5DR_4/5-Doors,2002,28227,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_4/5-Doors,2002,28000,Petrol,110,0,Black,0,1600,5,4,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_TERRA_COMFORT_4/5-Doors,2002,28000,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_4/5-Doors,2002,25266,Petrol,110,1,Grey,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_TERRA_4/5-Doors,2002,23489,Petrol,110,0,Silver,0,1600,5,4,5,85,1115,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_TERRA_4/5-Doors,2002,22575,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_4/5-Doors,2002,22000,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_5drs_1_4/5-Doors,2002,20019,Petrol,110,1,Blue,1,16000,5,4,5,100,1180,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_TERRA_4/5-Doors,2002,20000,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_5DR_4/5-Doors,2002,17003,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_AUT4_4/5-Doors,2002,16238,Petrol,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_5DR_TERRA_COMFORT_4/5-Doors,2002,15414,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_5DR_SOL_4/5-Doors,2002,8537,Petrol,110,1,Grey,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_VVTI__(Nw_type)_4/5-Doors,2002,7000,Petrol,97,1,Silver,0,1400,5,4,5,85,1100,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,High
TOYOTA_Corolla_2.0_D4D_90_3DR_TERRA_COMF_BNS_2/3-Doors,2003,66966,Diesel,90,1,Blue,0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,51884,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_2.0_D4D_110_3DR_SOL_2/3-Doors,2003,50005,Diesel,110,1,Grey,0,2000,3,4,5,234,1265,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,48110,Petrol,97,1,Black,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_2.0_D4D_90_3DR_SOL_BNS_2/3-Doors,2003,37500,Diesel,90,1,Black,0,2000,3,4,5,234,1260,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_2.0_D_4D_Linea_Sol_3_Doors_2/3-Doors,2003,34472,Diesel,90,1,Grey,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,33329,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16v_VVT-i_Linea_Sol_2/3-Doors,2003,31850,Petrol,110,0,Black,0,1600,3,4,5,85,1120,0,1,20,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,High
TOYOTA_Corolla_2.0_D4D_Linea_Sol_3_Doors_2/3-Doors,2003,30351,Diesel,90,1,Blue,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,29435,Petrol,97,1,Black,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,25948,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2003,24500,Petrol,110,1,Blue,0,1600,3,4,5,85,1120,0,0,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,23902,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_3DR_SOL_2/3-Doors,2003,23175,Petrol,110,1,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,19200,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,High
TOYOTA_Corolla_1.4_VVT-i_Sol_2/3-Doors,2003,18000,Petrol,71,0,Grey,0,1400,3,4,5,85,1125,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,16123,Petrol,110,1,Grey,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,High
TOYOTA_Corolla_1.6_16V_VVT_I_3DR_TERRA_COMF_AUT_2/3-Doors,2003,14635,Petrol,110,1,Blue,1,1600,3,4,5,100,1155,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.4_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,13748,Petrol,97,1,Green,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,High
 TOYOTA_Corolla_1.6_VVT-i_Linea_Terra_Comfort_2/3-Doors,2003,11500,Petrol,110,1,Blue,0,1600,3,4,5,69,1045,0,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,High
TOYOTA_Corolla_1.4_16V_VVT_I_3DR_2/3-Doors,2003,10000,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_1.6_16V_VVT_I_3DR_TERRA_COMFORT_2/3-Doors,2003,7187,Petrol,110,1,Blue,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,High
 TOYOTA_Corolla_VERSO_2.0_D4D_SOL_(7)_BNS_MPV,2004,1,Diesel,116,0,Grey,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,High
TOYOTA_Corolla_VERSO_2.0_D4D_SOL_(7)_MPV,2004,4000,Diesel,116,1,Grey,0,2000,5,4,5,283,1480,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,High
